cluster,fgf1_day,fgf1_comparison,grouping,cells_a,cells_b,hub_node,hub_node_name,terminal_names,term_size,query_size,intersection_size,p_value,gene_ids,
94,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050890,cognition,memory; associative learning,358,563,36,1.96691730579657E-11,Kmt2a; Snap25; Nrg1; Prkcz; Tmod2; Chl1; Kalrn; Gabrb3; Kcnab1; Rcan2; Epm2a; Ncstn; Ephb2; Tafa2; Mef2c; Camk4; Thra; Jakmip1; Slc8a3; Bche; Cntnap2; App; Lgmn; Syt11; Fgf13; Grm7; Clstn2; Tuba1a; Ube3a; Grin1; Elavl4; Mapt; Foxp2; Large1; Neto1; Gnas
95,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050803,regulation of synapse structure or activity,regulation of synapse assembly; regulation of postsynapse organization,297,1079,42,3.03801656795806E-09,Snap25; Nrg1; Sparcl1; Kalrn; Lingo2; Ptpro; Ephb2; Syndig1; Mef2c; Ptpn13; Cdh2; Flrt2; App; Clstn2; Tuba1a; Ube3a; Grin1; Efna5; Epha4; Cdc42; Lrtm1; Sema4d; Chrna7; Gpm6a; Pak3; Reln; Rapgef4; Zfp804a; Rps6ka5; Cdh8; Asic2; Rap2a; Sema4a; Snca; Hnrnpk; Frmpd4; Srcin1; Zdhhc15; Arf4; Sybu; Nectin1; Etv5
96,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001667,ameboidal-type cell migration,regulation of epithelial cell migration,444,1051,48,5.2200988062823E-07,Hdac9; Rtn4; Ptpn11; Schip1; Arid5b; Dicer1; Prkd1; Pfn2; Sema3e; Rac1; Mef2c; Arhgap5; Cdh2; Lgmn; Mia3; Ccbe1; Adamts9; Mcc; Prr5l; Nr2e1; Foxp1; Mapre2; Gna12; Cdc42; Zfand5; Coro1c; Slit2; Daam2; Pik3r3; Sema4d; Wdpcp; Pxn; Ptprr; Notch1; Pak3; Tns1; Sema4a; Rhoj; Bcar1; Cib1; Fbn2; Tgfbr1; Phactr4; Has2; Tgfb2; Irs2; Zeb2; Vash1
97,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1990778,protein localization to cell periphery,NA,380,904,39,1.6957415223479E-06,Snap25; Tspan5; Prkcz; Epb41l3; Gpr158; Kalrn; Sptbn1; Cacnb2; Epm2a; Kcnb2; Ephb2; Dlg1; Rac1; Rab40c; Cdh2; Camk2d; Efcab7; Bbip1; Fgf13; Rab3c; Ttc8; Kcnip4; Grin1; Pacs2; Lin7a; Large1; Neto1; Grip1; Camk2g; Tmbim1; Sytl2; Ehd4; Nfasc; Prkg2; Rapgef4; Rap2a; Fyb; Lypd1; Cib1
98,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031589,cell-substrate adhesion,regulation of cell-matrix adhesion,355,1067,40,7.64464255438448E-06,Ptpn11; Prkcz; Limch1; Dicer1; Dnm2; Vwf; Sema3e; Rac1; Nexmif; Eda; Carmil1; Itgb8; Mink1; Adamts9; Efna5; Mertk; Ecm2; Arl2; Cdc42; Coro1c; Fmn1; Tesk2; Wdpcp; Pxn; Utrn; Actg1; Antxr1; Parva; Notch1; Itga1; St6gal1; Bcar1; Cib1; Srcin1; Jam3; Col26a1; Col5a3; Has2; Sorbs3; Atp1b2
99,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0099003,vesicle-mediated transport in synapse,synaptic vesicle priming; synaptic vesicle clustering; synaptic vesicle endocytosis; synaptic vesicle fusion to presynaptic active zone membrane,255,472,21,1.27567869130157E-05,Snap25; Cadps2; Erc2; Nrg1; Rimbp2; Bin1; Pclo; Atp6v0d1; Dnm2; Pfn2; Ston2; Stxbp5l; Syndig1; Cdh2; Sh3gl2; Ctbp1; Syt11; Myo6; Pcdh17; Rab27b; Syt1
100,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007163,establishment or maintenance of cell polarity,NA,225,1063,30,1.38052569761536E-05,Prickle1; Prkcz; Ankfn1; Rac1; Carmil1; Frmd4a; Stk25; Fgf13; Hsp90ab1; Ttc8; Map1b; Ctnna1; Lin7a; Cdc42; Cyth1; Frmd4b; Wdpcp; Parva; Fscn1; Ust; Rhoj; Igf1r; Llgl1; Prickle2; Rictor; Jam3; Arhgef2; Rhou; Arf4; Rhoq
101,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0097581,lamellipodium organization,NA,91,1008,18,1.45408405834092E-05,Dnm2; Ptpro; Arhgef4; Rac1; Abi1; Carmil1; Plxnb3; Spata13; Cdc42; Coro1c; Slit2; Ablim2; Fgd4; Pxn; Fscn1; Auts2; Vav3; Plce1
102,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007264,small GTPase mediated signal transduction,Rac protein signal transduction; regulation of Ras protein signal transduction,419,1082,44,1.71358633462343E-05,Rasgrf1; Nrg1; Rit2; Chn1; Rtn4; Ywhaq; Ralgps1; Dnm2; Ephb2; Rac1; Elmo1; Arhgap5; Cdh2; Farp2; Camk2d; Sipa1l2; Arfgef2; Mapre2; Gna12; Cdc42; Cyth1; Slit2; Dab1; Prag1; Dock4; Adra1a; Notch1; Reln; Arhgef3; Rapgef4; Rap2a; Rhoj; Auts2; Phactr4; Tiam2; Vav3; Arhgef2; Rhou; Plce1; Eps8; Tgfb2; Arhgef28; Rhoq; Plcd4
103,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0060021,roof of mouth development,NA,94,255,10,4.87681960733939E-05,Schip1; Arid5b; Gabrb3; Ephb2; Dlg1; Mef2c; Asph; Tshz1; Tbc1d32; Itgb8
104,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0032409,regulation of transporter activity,positive regulation of ion transmembrane transporter activity,305,298,17,0.000140328058802999,Kmt2a; Rasgrf1; Akap7; Kcnab1; Ryr2; Hecw1; Cacnb2; Dnm2; Cacna2d1; Ephb2; Dlg1; Mef2c; Asph; Nedd4l; Camk2d; Mink1; App
105,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0090130,tissue migration,regulation of epithelial cell migration,324,1051,35,0.000143271116397993,Hdac9; Rtn4; Ptpn11; Dicer1; Prkd1; Pfn2; Rac1; Mef2c; Arhgap5; Lgmn; Mia3; Ccbe1; Adamts9; Mcc; Nr2e1; Foxp1; Mapre2; Coro1c; Slit2; Daam2; Pik3r3; Wdpcp; Pxn; Ptprr; Notch1; Sema4a; Rhoj; Bcar1; Cib1; Tgfbr1; Has2; Tgfb2; Irs2; Zeb2; Vash1
106,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0050919,negative chemotaxis,NA,45,870,11,0.000311955388003516,Nrg1; Sema3e; Flrt2; Lgr4; Plxna4; Efna5; Slit3; Lrtm1; Slit2; Sema4d; Sema4a
107,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0042063,gliogenesis,regulation of glial cell differentiation; oligodendrocyte differentiation,380,691,29,0.000497540570521456,Nrg1; Rtn4; Ptpn11; Bin1; Epm2a; Ncstn; Slc8a3; Nkx2-2; Cdh2; Cntnap2; Nkx2-2os; App; Cnp; Trf; F2; Tuba1a; Cers6; Nr2e1; Grin1; Ezh2; Mobp; Epha4; Large1; Tnfrsf21; Tcf7l2; Dab1; Daam2; Dcx; Tppp
108,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0043254,regulation of protein-containing complex assembly,NA,439,254,18,0.000510927002569081,Nrg1; Ptpn11; Prkcz; Tmod2; Sptbn1; Bin1; Prkd1; Sh3glb1; Pak1; Pfn2; Dlg1; Fnip1; Rac1; Thra; Carmil1; Farp2; Add3; Mpp7
109,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001505,regulation of neurotransmitter levels,synaptic vesicle priming; synaptic vesicle fusion to presynaptic active zone membrane,198,239,12,0.000511192414423061,Gabra2; Snap25; Cadps2; Erc2; Rimbp2; Pclo; Ptprn2; Pfn2; Stxbp5l; Mef2c; Stxbp3; Mctp1
110,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007214,gamma-aminobutyric acid signaling pathway,NA,29,630,8,0.000529736510210491,Gabra2; Gabrb1; Gabrb3; Gabra3; Gabbr2; Gabrg1; Gabrg3; Gabrb2
111,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0051480,regulation of cytosolic calcium ion concentration,NA,78,226,8,0.000682573292428751,Erc2; Rimbp2; Ryr2; Cacnb2; Trpc5; Itpr1; Slc8a3; Asph
112,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0006836,neurotransmitter transport,synaptic vesicle priming; synaptic vesicle fusion to presynaptic active zone membrane,211,239,12,0.00101197054902965,Gabra2; Snap25; Cadps2; Erc2; Rimbp2; Pclo; Ptprn2; Pfn2; Stxbp5l; Mef2c; Stxbp3; Mctp1
113,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1990416,cellular response to brain-derived neurotrophic factor stimulus,NA,10,995,6,0.00102366873537376,Dlg1; Sh3gl2; Ube3a; Grip1; Gria1; Tmem108
114,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1902414,protein localization to cell junction,NA,128,1039,19,0.00109530629849848,Snap25; Pak2; Prkcz; Kalrn; Pclo; Dlg1; Mpp7; Rab27b; Grin1; Mapt; Neto1; Grip1; Actg1; Reln; Rapgef4; Asic2; Jam3; Zdhhc15; Nectin1
115,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0003012,muscle system process,cardiac muscle cell action potential involved in contraction,426,610,28,0.00134713186825223,Scn1a; Atp8a2; Pak2; Map2k4; Kcnn2; Tmod2; Abat; Ryr2; Bin1; Cacnb2; Cacna2d1; Dlg1; Mef2c; Slc8a3; Nedd4l; Camk2d; Fgf13; Chrm3; Meis1; Apbb1; Foxp1; Ezh2; Akap6; Large1; Ryr3; Chrm2; Camk2g; Map2k6
116,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0044331,cell-cell adhesion mediated by cadherin,NA,43,840,10,0.00138852767637679,Cdh18; Cdh4; Nexmif; Cdh2; Cdh12; Cdh7; Cdh20; Notch1; Cdh6; Cdh8
117,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0030705,cytoskeleton-dependent intracellular transport,NA,199,1032,24,0.00168060602135165,Prickle1; Prkcz; Wdr35; Dync1i1; Agbl4; Myo1d; Fnbp1l; App; Dync2h1; Myrip; Tuba1a; Myo6; Rab27b; Map1b; Mapt; Neto1; Cdc42; Dync1i2; Wdpcp; Agtpbp1; Map6; Myo1e; Tmem108; Sybu
118,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0042886,amide transport,insulin secretion,426,203,15,0.00211131344657139,Snap25; Dpysl2; Ptpn11; Kalrn; Rfx3; Abat; Pex5l; Epm2a; Pclo; Itpr1; Ptprn2; Vsnl1; Stxbp5l; Cpe; Rac1
119,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1902074,response to salt,NA,410,1023,37,0.00282977278380223,Kmt2a; Abat; Ryr2; Itpr1; Ncstn; Mef2c; Asph; Aspn; App; Lgmn; Syt11; Xrcc4; Panx1; Chrm3; Slc13a5; Tuba1a; Ube3a; Ect2; Syt1; Grin1; Elavl4; Slc1a2; Large1; Ryr3; Chrm2; Gria1; Chrna7; Pnpla3; Adcy8; Slc25a13; Snca; Lypd1; Sorbs2; Igf1r; Pla2g4a; Sdk1; Nt5e
120,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0051258,protein polymerization,NA,283,691,23,0.00301406925093194,Tmod2; Sptbn1; Bin1; Pak1; Ccdc57; Pfn2; Dlg1; Rac1; Carmil1; Nin; Add3; Fgf13; Tuba1a; Diaph3; Map1b; Cyfip2; Mapt; Arl2; Fmn1; Slit2; Daam2; Spire2; Tppp
121,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0007272,ensheathment of neurons,myelination,180,1025,22,0.00342726655514587,Nrg1; Epb41l3; Ncstn; Dlg1; Slc8a3; Cdh2; Cntnap2; Rarb; Atrn; Trf; Mobp; Large1; Tnfrsf21; Tcf7l2; Tppp; Cldn11; Nfasc; Mbp; Hnrnpk; Mag; Jam3; Tmem163
122,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0099601,regulation of neurotransmitter receptor activity,NA,72,817,12,0.0036262994676554,Rasgrf1; Dlgap2; Ephb2; Mef2c; Mink1; App; Shisa9; Neto1; Grip1; Shisa6; Reln; Ppargc1a
123,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0071692,protein localization to extracellular region,insulin secretion,425,1040,38,0.00378632953531703,Snap25; Pam; Ptpn11; Rfx3; Abat; Pclo; Itpr1; Ptprn2; Vsnl1; Stxbp5l; Rac1; Stxbp3; Frmd4a; Tango6; Irs1; Myrip; Rab3c; Chrm3; F2; Sergef; Apbb1; Efna5; Gnas; Tcf7l2; Slc2a2; Rapgef4; Slc4a8; Adcy8; Fbn2; Wls; Rap1gds1; Llgl1; Ltbp1; Ndufaf2; Sybu; Tgfb2; Irs2; Ptprn
124,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0051261,protein depolymerization,NA,122,1075,18,0.00385468238003218,Tmod2; Sptbn1; Carmil1; Asph; Add3; Sh3gl2; Mical3; Mid1; Fgf13; Map1b; Kif18a; Cib1; Kif19a; Camsap2; Arhgef2; Vps4b; Eps8; Lima1
125,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0009101,glycoprotein biosynthetic process,NA,316,822,27,0.00396372041737684,Tmtc1; Pomt2; Ncstn; Galntl6; Extl3; B3galt1; Mgat5; Man1a2; Hs6st3; Mgat4c; St8sia1; Man2a2; St6gal2; Tet1; Large1; Chsy3; Hs3st5; Tcf7l2; C1galt1c1; Chst3; Crppa; Man2a1; B3glct; Fut10; St6gal1; Man1c1; Chst8
126,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031109,microtubule polymerization or depolymerization,NA,132,1000,18,0.00444788583989943,Pak1; Ccdc57; Rac1; Nin; Mid1; Fgf13; Tuba1a; Map1b; Mapt; Mapre2; Arl2; Tppp; Kif18a; Snca; Cib1; Kif19a; Camsap2; Arhgef2
127,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0106027,neuron projection organization,NA,110,1007,16,0.00755526581449568,Kalrn; Ephb2; Cntnap2; App; Lgmn; Ube3a; Grin1; Epha4; Cdc42; Chrna7; Pak3; Reln; Zfp804a; Igf1r; Srcin1; Zdhhc15
128,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0003015,heart process,cardiac muscle cell action potential involved in contraction,250,246,12,0.0080893035740832,Scn1a; Kcnn2; Ryr2; Bin1; Nos1ap; Cacnb2; Cacna2d1; Dlg1; Rac1; Thra; Nedd4l; Camk2d
129,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0045664,regulation of neuron differentiation,NA,240,1000,25,0.00845283315694056,Dpysl2; Rtn4; Zfhx2; Bin1; Trpc5; Sh3gl3; Rac1; Mef2c; Nkx2-2; App; Nr2e1; Meis1; Apbb1; Ect2; Map1b; Dixdc1; Dab1; Notch1; Map3k13; Reln; Impact; Eya1; Mag; Brinp1; Arhgef2
130,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0040013,negative regulation of locomotion,NA,350,870,29,0.00937544616793102,Nrg1; Limch1; Pfn2; Sema3e; Rac1; Nexmif; Mef2c; Mctp1; Mia3; Plxnb3; Adamts9; Mcc; Dach1; Abr; Ctnna1; Tet1; Epha4; Gna12; Coro1c; Frmd5; Arid4b; Slit2; Sema4d; Ptprr; Notch1; St6gal1; Ppargc1a; Rap2a; Sema4a
131,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0043279,response to alkaloid,NA,116,985,16,0.0115546456929576,Gnal; Pdcd4; Abat; Ryr2; Bche; Ube3a; Blm; Grin1; Elavl4; Slc1a2; Ryr3; Gria1; Adcy8; Snca; Igf1r; Sdk1
132,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0001764,neuron migration,NA,193,1041,22,0.0139465601731737,Nrg1; Chl1; Sema3e; Rac1; Nexmif; Mef2c; Flrt2; Fgf13; Tuba1a; Kirrel3; Apbb1; Cep85l; Mapt; Large1; Tbc1d24; Dab1; Dcx; Gpm6a; Reln; Auts2; Arhgef2; Alkbh1
133,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0061577,calcium ion transmembrane transport via high voltage-gated calcium channel,NA,15,246,4,0.0188314201242001,Bin1; Cacnb2; Cacna2d1; Camk2d
134,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0002040,sprouting angiogenesis,NA,131,904,16,0.0192742670374072,Hdac9; Rtn4; Sema3e; Pkm; Mia3; Ccbe1; Adamts9; Nr2e1; Cdc42; Smad1; Slit2; Pik3r3; Parva; Notch1; Rhoj; Cib1
135,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031098,stress-activated protein kinase signaling cascade,NA,244,1033,25,0.0197873076426117,Map2k4; Pdcd4; Rnf13; Dlg1; Mink1; Stk25; App; Ankrd6; Mid1; Usp25; Dixdc1; Cdc42; Map2k6; Fgd4; Sh3rf3; Mfhas1; Map3k13; Grik2; Rap2a; Map3k5; Dusp16; Igf1r; Ripk2; Map3k20; Tgfb2
136,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0072583,clathrin-dependent endocytosis,NA,43,318,6,0.0240963796900946,Dnm2; Ston2; Sh3gl3; Fnbp1l; Sh3gl2; Syt11
137,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1900273,positive regulation of long-term synaptic potentiation,NA,29,1056,8,0.0248404909896692,Ephb2; App; Lgmn; Chrna7; Reln; Adcy8; Hnrnpk; Igsf11
138,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0010171,body morphogenesis,face morphogenesis,54,73,4,0.0311597023723774,Prickle1; Ptpn11; Schip1; Arid5b
139,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1990504,dense core granule exocytosis,NA,14,12,2,0.0360991581436193,Snap25; Cadps2
140,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,NA,275,1070,27,0.0362770434615521,Nrg1; Sparcl1; Cdh18; Cdh4; Cdh2; Cdh12; Cdh7; Plxnb3; Palld; Clstn2; Kirrel3; Pcdh17; Efna5; Dab1; Cldn11; Mbp; Cdh20; Cdh6; Cdh8; Tenm1; Mag; Sdk1; Cadm2; Tgfb2; Nectin1; Igsf11; Pcdh7
141,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0021953,central nervous system neuron differentiation,central nervous system projection neuron axonogenesis,202,1061,22,0.0387732224598437,Gabrb1; Ephb2; Sema3e; Agbl4; Rac1; Nin; Nkx2-2; Plxna4; Dync2h1; Hsp90ab1; Nr2e1; Elavl4; Epha4; Foxp2; Slit2; Dcx; Agtpbp1; Tulp3; Hprt; Brinp1; Zeb2; Arhgef28
142,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0048880,sensory system development,eye development,439,1074,37,0.0402107379134293,Ttll5; Prickle1; Atp8a2; Gnb1; Tenm3; Ephb2; Dlg1; Celf4; Tbc1d32; Olfm3; Rarb; Ttc8; Nr2e1; Meis1; Mertk; Foxp2; Large1; Kdm5b; Ppp2r3a; Dcx; Wdpcp; Meis2; Rorb; Man2a1; Gpm6a; Agtpbp1; Notch1; Tulp3; Rhoj; Fbn2; Tgfbr1; Phactr4; Sdk1; Tgfb2; Nectin1; Zeb2; Pbx3
143,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0071867,response to monoamine,cellular response to catecholamine stimulus,87,582,10,0.0411782363616225,Gnal; Ryr2; Dnm2; Ncstn; App; Chrm3; Akap6; Gnas; Nsg2; Chrm2
144,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0055074,calcium ion homeostasis,NA,353,1033,31,0.0414207554680222,Erc2; Rimbp2; Ryr2; Prkd1; Cacnb2; Trpc5; Itpr1; Slc8a3; Asph; Camk2d; App; Ubash3b; F2; Inpp4b; Grin1; Pacs2; Slc24a3; Akap6; Ryr3; Gnas; Gria1; Chrna7; Grik2; Adcy8; Micu1; Snca; Rap1gds1; Plce1; Itpr2; Nt5e; Tgfb2
145,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0043954,cellular component maintenance,maintenance of presynaptic active zone structure,95,325,8,0.0447372348086415,Erc2; Rimbp2; Epb41l3; Pclo; Dlg1; Cntnap2; App; Plxna4
146,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1903525,regulation of membrane tubulation,NA,6,275,3,0.0451348194734844,Sh3glb1; Dnm2; Sh3gl2
147,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:1902991,regulation of amyloid precursor protein catabolic process,NA,45,714,8,0.0471294781643503,Slc2a13; Rtn4; Bin1; Rtn3; App; Epha4; Rtn1; Chrna7
148,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0042982,amyloid precursor protein metabolic process,NA,76,199,6,0.0473991838221968,Slc2a13; Rtn4; Bin1; Ncstn; Dlg1; Rtn3
149,OPC,Day5,obob5v5,fgf1_grouping,neg,none,GO:0035608,protein deglutamylation,NA,7,772,4,0.0481063001426768,Agbl4; Folh1; Agbl1; Agtpbp1
150,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007272,ensheathment of neurons,myelin assembly; positive regulation of myelination,180,1014,35,2.69392403453161E-12,Mbp; Nfasc; Bcas1; Fyn; Plp1; Sirt2; Tcf7l2; Cldn11; Myrf; Mag; Hnrnpk; Jam3; Nrg1; Ilk; Dlg1; Atrn; Tspan2; S100b; Zfp488; Fa2h; Arhgef10; Tmem163; Gjc3; Ugt8a; Tppp; Large1; Lpar1; Sh3tc2; Tnfrsf21; Ncstn; Cd9; Mobp; Trf; Rarb; Kcnj10
151,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042063,gliogenesis,oligodendrocyte development; astrocyte differentiation; regulation of oligodendrocyte differentiation,380,1016,47,2.54468771396231E-09,Bmp4; Bin1; Rtn4; Plp1; Sirt2; Tcf7l2; Dusp15; Myrf; Zfp365; Cnp; Ptprj; Mag; App; Ptpn11; Epha4; Tuba1a; Nrg1; Nkx2-2; Csf1; Ilk; Zeb2; Mfn2; Tspan2; Rras2; Zfp488; Fa2h; Arhgef10; Gpr17; Sox4; Tppp; Nkx2-2os; Matn2; F2; Ezh2; Large1; Abl1; Cers6; Lpar1; Sh3tc2; Tnfrsf21; Daam2; Ncstn; Cd9; Mobp; Trf; Kcnj10; Ptprb
152,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0016358,dendrite development,NA,306,779,36,2.8509921004452E-09,Map1b; Srcin1; Sema4d; Fyn; Prickle1; Camsap2; Nedd4l; Zfp365; Hnrnpk; Tbc1d24; App; Epha4; Ephb1; Strn; Ilk; Wls; Abi1; Cdc42; Arf4; Sh3glb1; Mink1; Mfn2; Rac1; Hprt; Map6; Dnm3; Pak2; Rap2a; Pak3; Matn2; Ezh2; Tet1; Abl1; Lpar1; Ephb2; D16Ertd472e
153,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007163,establishment or maintenance of cell polarity,NA,225,304,20,3.5964045012568E-09,Map1b; Frmd4a; Parvb; Frmd4b; Prickle1; Cyth1; Rictor; Ust; Arhgef2; Ephb1; Prkcz; Jam3; Fscn1; Ctnna1; Inppl1; Ilk; Cdc42; Hsp90ab1; Arf4; Arhgap35
154,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007264,small GTPase mediated signal transduction,Rac protein signal transduction; regulation of Rho protein signal transduction,419,909,46,6.4869175778023E-09,Arhgap5; Chn2; Rtn4; Cyth1; Dock4; Arfgef2; Ctnnal1; Arhgap24; Arhgef2; Rab33a; Rapgef1; Tns3; Dnm2; Elmo1; Nrg1; Rnd2; Csf1; Cdc42se2; Cdc42; Arhgap35; Ralgps1; Ywhaq; Dock6; Sipa1l2; Mfn2; Wasf1; Rac1; Ednra; Ophn1; Rras2; Mapre2; Rap2a; Gpr17; Rasgef1b; Eps8; Gna12; Abl1; Stard13; Lpar1; Ephb2; Farp2; Tiam2; Phactr4; Prag1; Auts2; Arhgef28
155,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0097581,lamellipodium organization,NA,91,370,12,1.10711945077976E-05,Ablim2; Parvb; Ptpro; Dnm2; Fscn1; Coro1c; Abi1; Cdc42; Plxnb3; Pxn; Wasf1; Rac1
156,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043254,regulation of protein-containing complex assembly,NA,439,429,26,3.05965856494653E-05,Map1b; Bin1; Tubb4a; Cyfip2; Sirt2; Rictor; Camsap2; Mapt; Arhgef2; Pfn2; Ptpn11; Prkcz; Jam3; Thra; Fscn1; Nrg1; Fnip1; Sptbn1; Dlg1; Cdc42; Sh3glb1; Syt11; Rac1; Pak1; Add3; Tmod2
157,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0051261,protein depolymerization,NA,122,742,17,0.000108709045780837,Map1b; Camsap2; Mical3; Kif19a; Arhgef2; Ckap2; Sptbn1; Lima1; Add3; Tmod2; Sh3gl2; Shroom2; Kif18a; Eps8; Mical1; Svil; Hspa8
158,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0001667,ameboidal-type cell migration,NA,444,886,38,0.000241529213391234,Arhgap5; Pik3r3; Sema4d; Bmp4; Bcar1; Rtn4; Lgmn; Zfand5; Pfn2; Ptpn11; Sema4a; Tns3; Dicer1; Coro1c; Ilk; Zeb2; Gipc1; Cdc42; Fbn2; Pxn; Rac1; Ednra; Rffl; Mapre2; Irs2; Pak3; Vash1; Has2; Gna12; Abl1; Stard13; Tns1; Mia3; Daam2; Phactr4; Hdac9; Tgfbr1; Cib1
159,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0106030,neuron projection fasciculation,NA,22,800,8,0.000314740723669419,Rtn4; Epha4; Arhgap35; Sema5a; Casp3; Ephb2; Ncam2; Tnfrsf21
160,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0031400,negative regulation of protein modification process,NA,472,680,33,0.000430860646975076,Pdcd4; Srcin1; Sema4d; Bmp4; Fyn; Ptpro; Sirt2; Cdyl; Cnksr3; Mapt; Ptprj; Tbc1d24; Ppp1r16b; Prkcz; Coro1c; Inppl1; Dbndd2; Ilk; Impact; Brca1; Ivns1abp; Prkar2b; Casp3; Nxn; Sh3gl2; Hmg20a; Mgat5; Sox4; Tppp; Cep63; Cadm1; Mical1; Abl1
161,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0043112,receptor metabolic process,NA,81,487,11,0.000573567058158366,Arfgef2; Lgmn; Nrg1; Eps15; Abca2; Fnta; Smurf1; Sh3glb1; Gprasp1; Usp9x; Rep15
162,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0008038,neuron recognition,NA,43,800,10,0.000974551219980359,Rtn4; App; Epha4; Arhgap35; Sema5a; Casp3; Prtg; Ephb2; Ncam2; Tnfrsf21
163,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0051258,protein polymerization,NA,283,747,25,0.00102102425029167,Map1b; Bin1; Tubb4a; Cyfip2; Rictor; Camsap2; Mapt; Pfn2; Tuba1a; Sptbn1; Dlg1; Rac1; Pak1; Add3; Tmod2; Arl2; Nde1; Tppp; Pak3; Eps8; Abl1; Ccdc57; Svil; Nin; Diaph3
164,OPC,Day5,obob5v5,fgf1_grouping,pos,none,GO:0038179,neurotrophin signaling pathway,positive regulation of neurotrophin TRK receptor signaling pathway,44,449,8,0.00142833545415784,Tmem108; Bcar1; Cyfip2; Rapgef1; Ptpn11; Sh3glb1; Wasf1; Casp3
